,X_1,epsilon_2,sigma_2,mass_2,k_12,BoxLength,Dself_1,Dself_1_err,Dself_2,Dself_2_err,Viscosity,Viscosity_err,num_particles,visc_rel_err,zeta
143,0.5,1.0,1.0,1.0,0.0,8.3618,0.02429,3e-05,0.02428,4e-05,3.829,0.026,500,0.6790284669626534,0.447784750468769
144,0.5,0.8,1.0,1.0,0.05,8.496,0.03686,4e-05,0.03881,5e-05,2.361,0.012,500,0.508259212198221,0.4268989783283508
145,0.5,0.8,1.0,1.0,0.0,8.4683,0.0343,3e-05,0.0359,5e-05,2.569,0.028,500,1.0899182561307903,0.43110188471389044
146,0.5,0.8,1.0,1.0,-0.3,8.3296,0.02051,4e-05,0.02115,4e-05,4.505,0.051,500,1.1320754716981132,0.4529978985778798
147,0.5,0.6,1.0,1.0,0.0,8.6296,0.04952,4e-05,0.05504,2e-05,1.692,0.027,500,1.595744680851064,0.4073771161681784
148,0.5,0.6,1.0,1.0,-0.3,8.4491,0.03209,3e-05,0.03437,3e-05,2.73,0.035,500,1.2820512820512822,0.4340475166877977
149,0.5,0.6,1.0,1.0,-0.6,8.326,0.01998,3e-05,0.02117,3e-05,4.551,0.052,500,1.1426060206548012,0.45358575504893917
150,0.5,0.5,1.0,1.0,-0.3,8.5367,0.04082,5e-05,0.04487,4e-05,2.077,0.028,500,1.348098218584497,0.42082212785362194
151,0.5,0.5,1.0,1.0,-0.6,8.3945,0.0267,5e-05,0.02888,4e-05,3.334,0.046,500,1.379724055188962,0.44257219582331614
152,0.7,1.0,1.6,4.096,0.05,10.3895,0.03751,6e-05,0.01925,4e-05,2.686,0.017,500,0.6329113924050633,0.45026882785900935
153,0.7,1.0,1.6,4.096,0.0,10.3593,0.03528,4e-05,0.01787,3e-05,2.916,0.031,500,1.0631001371742113,0.45421826433790474
154,0.7,1.0,1.6,4.096,-0.3,10.2133,0.02187,3e-05,0.01052,3e-05,5.065,0.06,500,1.1846001974333662,0.4739773162021596
155,0.7,1.0,1.6,4.096,-0.6,10.1042,0.01221,2e-05,0.00546,1e-05,10.0,0.215,500,2.15,0.4894969861383277
156,0.7,0.8,1.6,4.096,0.0,10.4686,0.04467,7e-05,0.02469,4e-05,2.11,0.014,500,0.6635071090047394,0.44013915585439867
157,0.7,0.8,1.6,4.096,-0.3,10.2959,0.03017,4e-05,0.01553,4e-05,3.421,0.047,500,1.3738672902660043,0.4626609834435106
158,0.7,0.8,1.6,4.096,-0.6,10.1717,0.01873,3e-05,0.00915,1e-05,5.891,0.076,500,1.2901035477847564,0.47981651898530164
159,0.7,0.6,1.6,4.096,-0.3,10.4155,0.04225,3e-05,0.02357,2e-05,2.24,0.04,500,1.7857142857142856,0.446905247640366
